review_no,review_body,discount_text
573,"i am not a techy person who understands all the ins and outs of the different ports and features of devices, nor can i help you compare or contrast to other chargers, as this is my first one. i received a sample of this product for an unbiased review, and i promise that this is my honest opinion this thing helps me feel calmer every time its in my bag and has not let me down once. ive had it for a little over a month and wanted to use it a bunch first before leaving a review.ive used it in the car.ive used it at work.ive used it at the hospital my whole family has.ive used it as my only power source on a 5day trip abroad when i forgot a us wall plug converter when i came back, it still had 50 charge and i had used it at least 45x to charge my iphone 5 and ipad mini 12x.each time, i have had no doubt that i would have a fully charged phone and some more battery to spare.i did read one of the other reviews that said to use to 2.1 port, so thats what ive been doing to charge my apple devices, but i have also used it to charge two devices at once several times, and its worked fine just a little slower to charge, which is no surprise. ive had other people use it for other devices as well. the display is absolutely awesome and tells you how much battery you have left. when youre charging something, it says the charge is going out to your device when youre charging the maxboost itself, it tells you the charge is going in. its simple and its intuitive. my mom, dad and uncle have already asked me for the link to buy.for an average user, i think this is the best 50 youll ever spend for peace of mind when it comes to powering your devices.","received a sample of this product for an unbiased review, and i promise that this is my honest opinion "
773,"i am not going to repeat the other reviews before me because they cover the basics of this charger very well. like them i obtained mine as a review sample.my first impression was it was just another charger in a sea of them. however, the more i used it and i thoroughly test anything before posting a review the more i was impressed. it seemed faster than most other chargers that i have used with the same basic 2.1 and 1.0 amp port ratings. i tested two apple devices ipad 2 and iphone 5s and two androids samsung galaxy note 3 and samsung tab 3 10.1. i purposely charged the phones in the 2.1 amp ports and the tablets in the 1.0 amp ones and even at 70 remaining capacity for the tablets when i plugged them in none took over three hours to charge up to 100.these do not overheat either. the specs do not say so, but i am betting that crammed into the approximately two square inch form factor are over charging and over heating protections. and its the form factor that truly impressed me. this may not have a gang of ports or a lot of bells and whistles some of the newer chargers have, but it is tiny. combine that with the charging times that i observed and it is a value for those who spend most of their time living out of suit cases. those folks tend to travel light and most need no more than the two ports this charger provides. i know because i spent a lot of my career traveling and less is more when you do that.do note that while this works with the modern samsung tablets like my tab 3 10.1, it will not work with older galaxy tab models.  other than that, if you are constantly on the road and pack efficiently this is a great charger. if you want something for the home or office you may want to consider other models with more ports and capacity.","obtained mine as a review sample.my first impression was it was just another charger in a sea of them. however, the more i used it and i thoroughly test anything before posting a review "
126,"i am on the road a lot! i carry my ipad and my iphone, and tether the two together. since i am in a rural area, and cell signals are less than full power, i drink power out of the two of them! so when iflash contacted me with the opportunity to test a complimentary charger and consider it for a review, i was happy to do a test.unlike others, i am simply an end user of products, and i cant tell you fun things like speed, etc. i can only tell you about the things that are important to me.first of all, these both the black and white have some cool things others dont  my list1 these charge two items at a time. it even includes two cords to use to charge your devices many others only include one. however, with only one set of tips, you will want to bring your own if you have two 30pin ios devices. i do2 these have a usb wall outlet charger for your battery. one of my key complaints is that most of the batteries skip this little item, and i run out of places to charge my usb batteries and other devices. nice feature.3 this has a nice pack to carry the battery and the tips and cords. cant tell you how convenient that is!4 at 8400 mah, it has plenty of power. after undergoing a power outage last winter, i especially appreciate this.it does seem to take awhile to fully charge, but i suspect that is because it is such a large battery.this is an exceptionally nice product, and i can recommend it based on my own personal experience.special note  i noticed that there was a customer who was disappointed in her product it happens and saw a comment here. it was exciting to notice that not only is their guarantee for a full year, but they actually took time to offer to exchange her product based on her review. while i did not need customer service, i am glad they are there if you need them.",they actually took time to offer to exchange her product based on her review.
733,"i am over 40.  well over.  and my eyesight aint what it used to be.  i used to be a mad texter  i could fire off text messages, drive from pittsburgh to dc and file my nails all at the same time.  now i hold my iphone a mile from my face just to see the buttons.  this helps a lot.  it gives me a more tactile experience with the keys braille?  not yet.. it reminds me of the sliding cell phones of about five years ago.  you have a full keyboard and a case and it all slides together nicely.i was afraid the magnet would interfere with my reception or screen, but so far no problems.sample provided for unbiased review.",sample provided for unbiased review.
487,"i am really impressed with this dual port car charger. i have rarely come across anything that will charge my samsung galaxy note 10.1 tablet and this baby does. so i can keep a bluetooth headset, my phone, my tablet or anything else that charges through a usb  port charging while im out and about. it solidly built and charges two devices at a time at quick speeds.im very impressed with the ability of this low cost charger. highly recommended.i was provided a unit to test and review.",i was provided a unit to test and review.
290,"i am testing this product for unu. they sent it to me for free. however, i would have paid a ton for this product since it works perfectly all the time. i am an occasional camper, even when its winter. this comes in handy when im out in the wilderness with no power in sight. i need my phone to wake up, and with this little battery pack  im set for life!",i am testing this product for unu. they sent it to me for free.
485,"i bought a similar car charger for my daughter as a stocking stuffer at christmas and she loved it and uses it all the time. since she liked it so much i wanted one for myself and after receiving this one i can say that mine is a lot better! these really are pretty useful. i keep mine in the center console of my car and with the dual plug there is no more fighting over who gets to charge their phone first when they run low. the auto off is a nice feature, once your phone is charged it turns off and protects against over charging.i received a sample in exchange for an honest opinion. these are very nice and work very well!",received a sample in exchange for an honest opinion.
849,"i bought the 8 gb version as a gift and it arrived in 5 days using super saver shipping.  no surprises.  the box, stylus, and piggie all looked just as they do in the photos, and the box had some black padding inside as well.  i cant offer much of a technical review since i gave the unit as a gift, but 1.5 gb moved to the drive in about 10 minutes.  the piggie came in the box, and the box and the stylus came in a plastic bag.  very nice gift and will consider gadgetme brands in the future.",offer much of a technical review 
755,"i bought their original bike mount, which is kind of an armored vehicle for your iphone huge plastic case, thick rubber liner inside, big snaps to hold it shut, and a screwlatch mechanism to secure it to the bike mount. it worked and i never had any worries about my phone, but it was also large and unwieldy. one of the main reasons i take my phone is to snap pictures on the ride. the old mount gave you two choices unscrewunlatch and shoot through the cases plastic window or unsnap the cover latches, take iphone out and shoot. after a while you just quit taking photos...so when they offered to send a review unit i jumped at the chance. this mount is _totally_ different. first off it uses a quick mount mechanism, much like garmin has on their bike gpss, with the addition of an extra safety latch. the case is a thin, light plastic shell that your phone snaps into it takes a bit of work to get it back out that then snaps onto the handlebar mount with a quarter turn. you can use it just like this on a sunny day where you dont expect to hit any puddles or see any rain. it takes a couple seconds to unclip it from the handlebar mount and take a photo ... theres no plastic window covering the lens and flash. the case is thin enough that you can still slip your iphone into a jeans pocket.also included is a clear, rubberish weather cover. snap it over the top of the iphonecase and now the top of the unit along with the side ports are all protected from rain and splashing. due to the nature of something being over your screen it does take a bit firmer touches to register on the phone. since i mostly mountain bike im more inclined to use this cover all of the time, just for the extra screen protection, not only from water but from me going otb and the bike following.where the old case could be submerged for a while in water this one doesnt make any claims like that. frankly i wouldnt want to try it with either.pros slim, light mounting case water protection sleeve quick to mountunmount holds phone securecons protection sleeve makes it a bit harder to use touch screeni am a past bike2power customer. this product was provided to me free of charge in exchange for my honest review.", this product was provided to me free of charge in exchange for my honest review.
364,"i can only think of a few reason how you ended up here looking at the unu aero wireless charger and case and i will tell you if this casechargerexternal battery is for you or not. i will list the possible reasons belowyou are on the road a lot and do not have access to a charger to keep your iphone charged the whole day.you are a moderate to high user who depends on their mobile phone to manage their daily lives.you need something that is durable, light, easy to hold in your hands and stylishwell, as stylish as a case with a built in baqttery charger can be.need a case that will help you achieve number 1, 2, 3 with the lease amount of bulk.inexpensive, yet high in quality nd with a good warranty.i will not waste your time and recite the specs but i will tell you why this case is the best case in its line of cases. i was lucky enough to be selected to review this case for free and i chose to go with the white color and it is fantasic. it fits the iphone 5 like a glove, assuming you do not have a skin installed onto your device however if you have a skin like me, it is still effective and fits well. i have used this case for 1 week and my wife has used it for 1 weekactually she wont give it back to me now becuse she loves the case. unlike the overpriced morphies you see in every electronic store this case is only offered on amazon and myunu.com.during my 1week trial of this case i found that this case is extremely well built, egronomic, simplicity, and the idea of putting your phone on a charging pad and it starts to charge both the phone and the battery was extremely convienient and intriguing. i have not seen a similar product under 100 that gave me the performance this casebatterycharger provided me. i am a heavy user especially data, my job requires answering customer calls, surfing the web, sending and receiving emails so i use roughly between 510gb of data a month and 90 of it is because i use the personal hotspot feature in the iphone 5 to provide wifi for my ipad which is what i use to do my research, respond to emails etc., and most of you who may relate knows tethering via bluetooth consumes your battery within a matter of a few hours. after i charged the phone and the case i went about my day and when i was down to 20 i pushed a tiny button on the backbarely noticeable and then the phone starts to recharge and generally within 2030mins the phone was at 100 and automatically stops charging and the led indicators4 of them only showed 2 were used up during the process. keep in mind that the recharge process is never always the same as it depends on the conditions at that time, whether its under use, bad reception, how many apps you are running in the background etc, so please do not hang me if your phone doesnt charge in that timeframe. there were 2 really unique qualities in this charger that i was impressed with are that the battery never got warm durning the charging process, the reception wasnt affected, and last but not least, the case is built so that when you are playing your music or using the speaker featurethe sound is amplified about 30 louder than without the case. i do not know if this was intentional or not but we all know how all mobile phones lack the sound quality when playing music. when comparing apples to apples, this casecasewireless charger is in a class of its own.naturally the case is not 34perfect34 so there are some minor downfalls that i did not like about the case and theyre just personal preference so please dont keep yourself from buying the case because of these minor details that may be fixed at any time. i would have liked it more if there was an option for some sort of a leather case or holster built for it.now, since my wife has taken this case over and the wife always wins i might have to purchase one myself. i will recommend this to any business name, student, or anyone on the go because this charger will last you at least 2 days with heavy usage and the case itself is built so well i am 100 confident this case will last me a long, long time. i gave up my morphie that ive been using for over 3 yrs now and not once have i looked back.thank you for taking the time to read my review, if you like it please give a thumbs up and please let me know what you think.oh just to make sure i complete the task, i have to say that i was gifted this case for free!!!", i was lucky enough to be selected to review this case for free and i chose to go with the white color and it is fantasic.
284,i could so use this my samsung galaxy s4 has a great battery life but when i make a lot of phone calls or use the apps on my phone it drains the battery and i am always on the go portability is what i need the most when charging my phone becase my phone is also my life line i have epilepsy and my daughter is 7 and knows how to call 911 if i have a seizure with out my cell being charged to 100 my life or my familys life hangs in the balance i love unu products the quality is awesome and they  live up to  what they say the product does.i also love that i get free samples to review there products and love there products you can join there program on facebook ... and help review there products too,i also love that i get free samples to review there products and love there products you can join there program on facebook .
229,"i did a double take the first time i saw the 5 star america 3100mah battery charger. it looks just like a smartphone. but appearances can be deceiving, since its really a very thin, lightweight portable battery charger. its different from other portable battery chargers in almost every way at less than a third of an inch thick, its as thin as any charger ive seen also thinner than any smartphone ive seen, and there are no buttons or other external controls. the product details indicate that the weight of the charger is 1.1 ounces, but on my postal scales, it looks like the weight is just under 3 ounces. even at that, its as light as any charger ive seen.the charger includes a 4034 usb charging cable with a microusb plug on one end and a standard type a plug on the other. the charger can be recharged from a usb port or from an ac wall charger or vehicle charger. i charged it up with a 5v1.0a wall charger, then used it to top off the charge on my samsung android phone. there was enough capacity remaining to boost the charge on my kindle fire hd 734 tablet. with a full charge, the battery charger should have enough capacity to completely recharge any cellphone on the market today, or extend the usable time of any tablet at least a few hours. its all automatic too there are no buttons to fiddle with. when the charger is plugged into a mobile device, recharging begins immediately and shuts off when the mobile device has been recharged to 100 or when the charger is depleted, whichever occurs first.heavy duty users of smartphones and tablets who are away from recharging sources for much of the day will likely need more recharging capacity than this charger has. for many users, however, 3100mah will be sufficient for their needs, and the small size and weight of the charger will be welcomed. and i have to give kudos to the manufacturer for mentioning that battery chargers have energy losses that reduce the effective capacity by up to 30 of the advertised capacity. most manufacturers dont mention that fact. 5 star america claims that their battery charger has an energy conversion rate of 85, which would yield an actual effective capacity of 2600mah.a product sample was provided by the manufacturer for review purposes.",a product sample was provided by the manufacturer for review purposes.
532,"i did get this from maxboost vipu program and yes, this was a sample i did in fact receive this for free. first off the charger was by far the best charger you will ever buy. it works extremely well, it come with a built in flashlight.also it lights up blue to indicate that it is charging your phone. and also whats good about this is that it always shows the battery percent of how much percent is left on the charger. to let you know when you charge it it takes about a good 810 hours just to fully charge to 100 thats the only downside but, on the other hand it last for about 46 hours. it is a really good thing to buy for travel. i would recommend this product to anyone i see.","i did get this from maxboost vipu program and yes, this was a sample i did in fact receive this for free."
31,"i discovered this product a few years ago when it only came in the tube and pump spray forms. it was probably the third or fourth 34safe34 sunscreen that my family tried  many of which were very difficult to apply andor rub in, especially with having a toddler with some sensory issues. when i found garden goddess, i was pulled in by the 34safe34 factor and by the fact that the product is a local product boulder, co for me. since then, weve used literally dozens of tubes, pump sprays, and continuous spray bottles  everyday for our son and during vacations for us adults. we love the product! the only reason i dont give it five stars is because the nozzle sometimes gets a bit clogged after extended use, causing the spray to come out less in a mist and more in large blobs. its not the end of the world, it just requires more work to rub in. all in all, its a product ive successfully recommended to friends and will use again and again as summer once again approaches. our rocky mtn. sun is a scorcher!disclosure of material connection i will receive a lowvalue free gift from the manufacturer for posting this review. i was not required or compelled to write a positive review. the opinions i have expressed are my own. i am disclosing this in accordance with ftc 16 cfr, part 255.",disclosure of material connection i will receive a lowvalue free gift from the manufacturer for posting this review.
32,"i enjoy all the goddess garden products that ive tried and really dont mind that they need to be rubbed in. being of a sensitive nature and having a child who is the same, not having to worry about adverse health effects from chemical sunscreen is very important. this product and the trigger bottle protect well! i will keep on purchasing again and again and again!furthermore, i noticed that others have commented on stinging  this is not something that i have experienced, although i am a red head and very, very sensitive! this spray product rubs in well and does not sting when i apply it.disclosure of material connection i will receive a lowvalue free gift from the manufacturer for posting this review. i was not required or compelled to write a positive review. the opinions i have expressed are my own. i am disclosing this in accordance with ftc 16 cfr, part 255.",disclosure of material connection i will receive a lowvalue free gift from the manufacturer for posting this review.
223,"i find myself rather disappointed with the3100mah external battery charger by 5 star america thinnest  fastest charging external battery pack in the world 2a outputthat was sent to me to test.  yes, it is thin  the thinnest ive seen.  yes, it charges quickly.  yes, mine came in pink.  and there the good things i have to say about this particular battery pack come almost to a screeching halt.65038  i love the usb cable that comes with the unit  well, mostly.  it is pink to match the power bank, a full yard long and the newer flat cord rather than the more fragile round cord. however, there is no way to store the cord.  unlike most of the other power banks ive tested, this one came only with a plastic ziplock bag rather than some more permanent form of storage. i can see that long cord turning the contents of my purse into a tangled mess now!65038  one side of the unit is glossy black.  every single person that ive handed the unit to has tried to turn it on from the touch screen, thinking that i had handed them a smart phone.65038  last, hardly least,  all of the pretty pink side of the unit is emblazoned with a huge logo, then covered with more than 2 inches of black text, plus two full lines of prominent symbols at the bottom. quite some bit more than is shown in the product photos at the top  mine is completely covered in graffiti of various sorts!  frankly, this does not look like the classy sort of power bank that i would want to carry around with me.  rather, it looks like the sort of advertising gimme that companies hand out for free at trade shows.grandmas 0.02  suitable for charging a variety of phones, but does not come with the proper connector for any of the iproducts.  youll need to use the charging cable that came with your iphone or ipod.  the unit is not powerful enough at 3100 mah to deliver much of a charge to an ipad. lack of storage for the extralong cord is an issue. the total obliteration of the pretty side of the power bank with advertising make this a less than desirable unit.","i find myself rather disappointed with the3100mah external battery charger by 5 star america thinnest  fastest charging external battery pack in the world 2a outputthat was sent to me to test.  yes, it is thin  the thinnest ive seen.  yes, it charges quickly.  yes, mine came in pink.  and there the good things i have to say about this particular battery pack come almost to a screeching halt.65038  i love the usb cable that comes with the unit  well, mostly.  it is pink to match the power bank, a full yard long and the newer flat cord rather than the more fragile round cord. however, there is no way to store the cord.  unlike most of the other power banks ive tested, this one came only with a plastic ziplock bag rather than some more permanent form of storage. i can see that long cord turning the contents of my purse into a tangled mess now!65038  one side of the unit is glossy black.  every single person that ive handed the unit to has tried to turn it on from the touch screen, thinking that i had handed them a smart phone.65038  last, hardly least,  all of the pretty pink side of the unit is emblazoned with a huge logo, then covered with more than 2 inches of black text, plus two full lines of prominent symbols at the bottom. quite some bit more than is shown in the product photos at the top  mine is completely covered in graffiti of various sorts!  frankly, this does not look like the classy sort of power bank that i would want to carry around with me.  rather, it looks like the sort of advertising gimme that companies hand out for free at trade shows.grandmas 0.02  suitable for charging a variety of phones, but does not come with the proper connector for any of the iproducts.  youll need to use the charging cable that came with your iphone or ipod.  the unit is not powerful enough at 3100 mah to deliver much of a charge to an ipad. lack of storage for the extralong cord is an issue. the total obliteration of the pretty side of the power bank with advertising make this a less than desirable unit."
649,"i got a free sample to review, but this review is totallee heheh honest.so far, the only case i have truly loved is therearth ringke slim. it was slim and very light almost like a naked iphone. however, this case is almost on par with that one for me. its not as slim and minimalistic, which i prefer, but its very light and offers good protection. while i like the minimalist look of the iphone, this is one doesnt look bad at all to me. i enjoy using it. it comes in rather attractive colors. what more would you want? for about 7, you get a pretty good deal.my only problem with it is the camera cutout. it does not affect performance, but it just doesnt look right. this is purely personal preference and your view might vary, but the hole seems a teeny bit small. i just think it would look better if it was slightly larger and maybe cut out in the totalleeslim skinshape.","i got a free sample to review, but this review is totallee heheh honest."
542,"i got it from maxboost websites and it is free. in fact, i have applied twice. the first time i forgot to write my apartment number, even though it had been shipped out. so i tried to apply another. in surprise, they sent me another. i am so thankful and i received it very quick. for the product itself, the volume is enough for the daily using. i try to  charge my cell phone. it only took less than one hour. so quick! and later, i found that it also could charge the ipad. so great! it meant that next time when i travel, i just need to take this with me, then it is done. i really recommend this wonderful battery.",i got it from maxboost websites and it is free.
449,"i got the black matte case with the white charging pad. i love how this case is much slimmer than the unu protective battery case for the iphone 5. it fits comfortably in my palm and has a nice grip to it.when i first received this product, i was a bit surprised that the iphone needed to go inside the case in order to be recharged with the wireless pad, but im not complaining. it feels like this case doubles the time i get to go on my iphone without charging.i think the only thing i wish could be changed is the protective layer covering power and volume buttons on the case. sometimes it makes it a bit hard to press them, but its still operable.i want to thank unu for letting me try out this amazing sample product! quality never lies ",i want to thank unu for letting me try out this amazing sample product! quality never lies 
347,"i got the charging case as a free sample as one of their product testers. ive used it since i received it and it has worked very, very well for me. it is super convenient to just put my phone on the charging pad to charge at night at not have to have it plugged in all the time. i think it would be a must have to own when planning to go abroad or camping or anytime when you might not have easy access to a outlet for an extended period of time. its really not that bulky, the only downside is the headphone output. they give you an extension, but it isnt very convenient and they could probably just build it into the case. i dont see why that wouldnt work or be too expensive, and it would be much easier to deal with. overall, it usually charges my phone completely, so i could last a couple days easy with my phone without charging it, which helps put your mind at east.",i got the charging case as a free sample as one of their product testers.
469,"i got the unu aero series iphone 5s battery case  iphone 5 battery with wireless charging for free. i excited to receive this case for free, not having to plug the cord into my case was something i was looking forward to. my first impression of the case was nice color and feel. what i didnt like was the way the case snapped together or that it did not snap securely. i would recommend a design similar to the dx model. after some time the case kept coming apart. i also noticed the bottom up top didnt line up with case, i actually had to make the hole larger and remove the piece that was there. i also had to use double sided tape on the inside on the lid to keep it secure the bottom of the case. so after this adjustments everything seemed ok until i set my phone on the charging pad one nite and it didnt work!! after looking at the pins on the back of the case i saw that one of the pins was stuck in the case. i popped it out and it works fine now. i will give this case two stars because the in theory it is awesome but there is some major issue that need to be addressed. i have faith that unu will correct these issue and produce an even better case.here is an update for this case as of  march 30. 2014, i had to change me rating. i now give it 4 stars as it had protected my phone from several major drops with minor scratches to the case. just a few minor design changes and i will give this case 5 stars.",i got the unu aero series iphone 5s battery case  iphone 5 battery with wireless charging for free.
559,"i got this as a free sample for testing in order to review the product. so far i am very pleased with it. the only thing that disappointed me when i opened the box was that, while the connecting cord for you devices came in a nice bag, it didnt include a lightning cable. other than that, the device itself works perfectly.  the thing i like best is that it tells you the percentage so that you know when you have to charge it, so that you dont leave the house with two dead batteries. this is a great product for someone who is often on the go who may not always have a plug to charge their phone with.",i got this as a free sample for testing in order to review the product.
390,"i got this as a free sample from unu u try program , and its the best case ive had on my iphone since i purchased it. i love how i can just place my phone on the charging pad and it automatically starts charging for me. i have extra battery power wherever i go now and protection for my phone also. the only thing that bothers me is the case has a slight gap , but it doesnt really bother me. i have no problems with it other than that and it serves me well especially since it was free!!","i got this as a free sample from unu u try program , and its the best case ive had on my iphone since i purchased it."
317,i got this as a free sample to review. it came at a perfect time because my sons iphone is not holding its charge so it was a life saver for him. it has a battery capacity of 5000mah so it can charge the phone up to three times before it needs charged again. it also has a detachable charging cable that is handy for charging various usb devices.it has been used on a daily basis for over a month now and it is still going strong. it is small so its easy to keep in a pocket or purse. i look forward to taking this on trips this year to supplement the charges on all our devices when we are not able to plug them in.,i got this as a free sample to review.
668,"i got this free from the company,and i have to say  no its not one of the best ones they have out there,but this is light weight,convenient,and it gets the job done.i have charged my cell, camera,and my kids game controller ,and its works great.the flash light to me is bright my hubby is a police chief,and  he takes it to work to charge his cell,and uses the light in the squad when hes looking for something..this is also great when camping.","i got this free from the company,and i have to say  no its not one of the best ones they have out there,but this is light weight,convenient,and it gets the job done."
605,i got this in the mail friday and since have told my kids and husband not to charge any of their devices since it was a sample from maxboost i wanted to do a proper review and see what this thing can do!! this product is amazing!!! yes its kind of bulky but not bad!! what do you expect though for the power this thing is packing!! my daughter has used this for her smartphone which is on all day long!! she is 13 so facebook!! but it charged her phone from zero percent to 100 in 30 minutes which is faster than her normal charger so she loves it!! it charged my husbands tablet from zero to 100 in about 20 minutes which is faster than the regular charger for that device and after charging both devices it was still at 61 percent so this thing could probably charge a whole lot more. nothing else has needed charging though. it is a lot better than having to find each cord and plug it in forever it comes with adaptors for every device i can think of except the apple lightning but if you have the device you should probably already have one anyway!! the device also has a one year warranty so it is totally worth the money especially if you travel a lot. and i think it is perfect for women it is kind of bulky but it doesnt even weigh a pound so i dont see why any woman would have a problem with it and its perfect purse sized also!! five stars for an amazing and totally useful device!! thank you maxboost for letting me try out this product i love it my whole family does!!,got this in the mail friday and since have told my kids and husband not to charge any of their devices since it was a sample from maxboost i wanted to do a proper review 
422,"i got this phone case for free through their utry program. it came quickly and was easy to install. the case charges fast and having the pad to wirelessly charge it is great. the battery in the case gives me 6 extra hours of use which is nice to have. however. there is no lip around the phone, so the phone just basically looks like it is sitting in the case instead of being protected by it. i dropped it last night and the case didnt do much to protect the screen. would purchase a screen protector with this if you plan on buying it.edit first one broke after a few weeks the button to press the lock button snapped off. sent it back and they sent me a new one. the new one broke in the same place after four days. also does not charge well on pad. think twice before purchasing",i got this phone case for free through their utry program.
549,"i got this product for free from there vipu program. i have to say right off the back from opening the package, i really enjoyed the digital display screen and how it tells you the percent its at. first i plugged it in so it could get it fully charged and it was all ready for my trip. when it came time to use it, it was easy to turn on and plugged my phone right and started charging it. my iphone 4s was at 15 before i plugged it in and after about an hour and a half my phone was about fully charged. this thing is amazing and i highly recommend this to anyone looking to get one. there is also a flashlight on the side which is a big plus if you ever need a lil extra light. thank you maxboost and great product. a",i got this product for free from there vipu program.
340,i got this product free testing at unu testing you can find them on there facebook page and test there new products there all awsome they have chargers they have them of all kinds like this one and in diffrent colors lot for i phone but i see that this one is finally for samsung galaxy s4 i love the phone but since iam always on the go i always need a way to charge my device no mater what iam doing some times there is no way to plug it in so wireless is a great way to charge your phone too there products help most phones and other products search for them on here and on face book and on the web my recommedation is for the best of there products they stand by there quality and durabiility they do most of what they say but some dont charge the product all the way but that is what all products do but they still help you keep it so you can use you ipad tablet phone or what ever you need charged there awsome,i got this product free testing
57,i got this to try.  i started using this on my face a few weeks ago and i am excited i did.  this is a very thick lotion so it takes awhile to soak in but once it does you will not believe how soft your skin will be.  it did not leave me greasy at all.  i have one spot on my face when i went out in the sun it was like a perfect circle that turned a darker color and started to scab up.  yuck.  so when i started using this i could tell in the first night that it was helping.  after a few days i could tell that it was almost completely gone.  my skin was softer and more even. i truly loved this resurface.,i got this to try
805,"i had a chance to test the review sample of this speaker sidebyside of two others that i had set up. all three had something going for them that the others didnt. for this it was sound quality.this has the perfect combination of volume and frequency response. i am especially impressed with the low end response. i almost exclusively listen to jazz, but the bass on this speaker was so deep that i tested it withled zeppelin, and especially john paul jones bass on dazed and confused. that sold me. not that i regularly pull out my rock albums, but i knew that the speakers were great. of course my normal test album, miles daviskind of blue, was superbly reproduced with a nicely balanced highs, mids and lows.operation is simple. after you switch it on, press the button with the bluetooth logo, scan from your device, pair and connect. i would have preferred the more modern way where you turn the speaker on, scan and connect, but having a dedicated bluetooth button is just as good in my opinion. anything is better than the old style multifunction button method.one thing that i love about this speaker is it has front and rear speakers, which i am guessing accounts for the rich sound. when i was testing mine it sounded like there was a crossover circuit because of the bass separation on some tracks, but i cannot be absolutely positive because the speakers are pretty close together.of course the price is a great feature too. this is one of the less expensive speakers i have owned, but one of the best sounding ones. no frills, but darn good sound  and easy to operate if this will be your first bluetooth speaker.",i had a chance to test the review sample of this speaker sidebyside of two others that i had set up
757,"i had the larger mount httpwww.amazon.comgpproductb00aq82a5e and loved that, but was a bit bulky.  this is the perfect slimmed down version of that mount.  also what is nice is that when the day is nice, you dont have to have the cover over it, so its much easier to use that the old mount.  i tested in in rain and snow and kept the phone nice  dry.  it is difficult to operate the screen with the cover on, though.  the actual case for the phone is super slim if you like that, and i use it for everyday use, though it doesnt offer much protection.  the bike clip is nice an solid and the phone doesnt rattle at all.  love this mount.i am a past bike2power customer. this product was provided to me free of charge in exchange for my honest review.", this product was provided to me free of charge in exchange for my honest review.
379,"i had the opportunity to try the unu aero series iphone 5 through the unu utry program. i received the product in the mail within two weeks after applying to try the product. i have been very satisfied with the product. the charging pad makes it very simple to charge your phone without even plugging it in. i had a different charging case with my old iphone 4s and i had to buy two different power cords because the cable became loose and it was very frustrating. this case is sleek and very light. i can usually get almost two charges from the case so i dont have to put on the charging pad for a couple days. there are 4 led lights on the back that show how much charge is left and is very convenient. the only thing i would change for the product is the weight of the charging pad. sometimes it does not sit flat if the power cable gets kinked but other wise serves as a great charging station. i have recommended this product to nearly all of my friends and family. they love the functionality, sleekness, and weight of the product. by far  one of the best innovations for charging phone cases.",i had the opportunity to try the unu aero series iphone 5 through the unu utry program
97,"i had trouble getting around this review because i did not see many uses for this. that is until i was talking to a friend, who is in construction and was on a ladder, trying to make notes into his iphone and buttdialing and texting at the same time. it was perfect for him.first off, this is not a fashionable case, but it can be useful. it is definitely not for me. but, it can be useful to others.the case is pretty flimsy. it is a skin really, not a case. it is made from a rubberized plastic and it fits the iphone but it is not a perfect fit. there is no screen cover so you have to be careful about scratches. the skin is not going to really protect your phone against falls.what would protect it is that the lanyard attaches to your phone through the charging port. the secure fit definitely keeps the phone with you and not in the floor.the headphones are pretty cheap and sound horrible. they dont even stay in my ear. i tried to use this while walking, running, working out, riding my bicycle and in all situations, they failed in audio quality and staying in my ears.so, fashionable? no. useful? yes, for some. protective of your phone? only for minor scratches.i would also worry about security, as its placement would make it easily accessible for muggers. sample provided for review.",sample provided for review.
354,"i have a 4s and a 5s iphone and have two different unu battery cases for each phone. unu sent me this model as a free sample for review and  i love the improvements they have made.  this newest version of the unu for 5s  not only charges the phone wirelessly but the case is much slimmer and more sleek, though the fit is not as tight.  the cases they made for the 5s have a much nicer texture than before.  you can charge it 2 ways. by laying the phonecase unit on the charging pad or by plugging up the phonecase unit with the provided mini usb cord.  if you need a faster charge, plugging it up is the way to go.  the convenience of being able to just set the phone down for a charge is wonderful!  i love!", unu sent me this model as a free sample for review and  i love the improvements they have made.
66,"i have a chinlength bob and this was harder to use than a thinner flat iron  this would probably be best for hair longer than mine. heats up very fast. since this says 34wet to dry34 i tried this with barely damp hair and i was a little afraid as it made a sizzling noise when i was pulling it down the strands. anyway, i still think its best to use this on dry hair. i wish it was digital on the temperature settings but that would be a flat iron with a higher price tag. no storage bag with this one.  review sample ",review sample 
801,"i have a couple of portable bluetooth wireless speakers, but as my computer does not read most bluetooth devices, oddly, despite efforts to upgrade the driver, i use a speaker for musical enhancement. like others, this can also be used with a miniplug provided along with usbtomini charger cable, both very short wires. so, it delivers a respectable sound, not audiophile, but as its bigger than the collapsible pocketsized versions, better than those for a sound audible across a room. it lacks a bass control or much of a setting the cube buttons are onoff, phone, volume updown, and bluetooth. two plugs at the back, and an indicator light, red for charging and green when charged. booklet instructions are clearly written and easy to read.an advantage is the cube design. a speaker is front facing, opposite the plugs the sides are solid. its a fun piece to look at and hold. a grip is glued on the bottom of this handy unit, and its weighty enough not to easily tip over or be dragged on a surface, too.one limit is the fact when the audio plug is in that the unit cannot be altered by volume. only the master unit device controls this. also, when charging it says about 46 hours a charge and it takes about 1.5 hours from the start to charge itself, the unit cannot be used, somewhat of an obstacle if you want to use it while charging itsorry. but, with bluetooth, more freedom is possible...p.s. i was asked to test this for review.", i was asked to test this for review.
